@relation recsub-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute Major {'PETROLEUM ENGINEERING','MINING AND MINERAL ENGINEERING','METALLURGICAL ENGINEERING','NAVAL ARCHITECTURE AND MARINE ENGINEERING','CHEMICAL ENGINEERING','NUCLEAR ENGINEERING','ACTUARIAL SCIENCE','ASTRONOMY AND ASTROPHYSICS','MECHANICAL ENGINEERING','ELECTRICAL ENGINEERING','COMPUTER ENGINEERING','AEROSPACE ENGINEERING','BIOMEDICAL ENGINEERING','MATERIALS SCIENCE','ENGINEERING MECHANICS PHYSICS AND SCIENCE','BIOLOGICAL ENGINEERING','INDUSTRIAL AND MANUFACTURING ENGINEERING','GENERAL ENGINEERING','ARCHITECTURAL ENGINEERING','COURT REPORTING','COMPUTER SCIENCE','FOOD SCIENCE','ELECTRICAL ENGINEERING TECHNOLOGY','MATERIALS ENGINEERING AND MATERIALS SCIENCE','MANAGEMENT INFORMATION SYSTEMS AND STATISTICS','CIVIL ENGINEERING','CONSTRUCTION SERVICES','OPERATIONS LOGISTICS AND E-COMMERCE','MISCELLANEOUS ENGINEERING','PUBLIC POLICY','ENVIRONMENTAL ENGINEERING','ENGINEERING TECHNOLOGIES','MISCELLANEOUS FINE ARTS','GEOLOGICAL AND GEOPHYSICAL ENGINEERING',NURSING,FINANCE,ECONOMICS,'BUSINESS ECONOMICS','INDUSTRIAL PRODUCTION TECHNOLOGIES','NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES',ACCOUNTING,MATHEMATICS,'COMPUTER AND INFORMATION SYSTEMS',PHYSICS,'MEDICAL TECHNOLOGIES TECHNICIANS','INFORMATION SCIENCES','STATISTICS AND DECISION SCIENCE','APPLIED MATHEMATICS',PHARMACOLOGY,OCEANOGRAPHY,'ENGINEERING AND INDUSTRIAL MANAGEMENT','MEDICAL ASSISTING SERVICES','MATHEMATICS AND COMPUTER SCIENCE','COMPUTER PROGRAMMING AND DATA PROCESSING','COGNITIVE SCIENCE AND BIOPSYCHOLOGY','SCHOOL STUDENT COUNSELING','INTERNATIONAL RELATIONS','GENERAL BUSINESS',ARCHITECTURE,'INTERNATIONAL BUSINESS','PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION','MOLECULAR BIOLOGY','MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION','AGRICULTURE PRODUCTION AND MANAGEMENT','GENERAL AGRICULTURE','MISCELLANEOUS ENGINEERING TECHNOLOGIES','MECHANICAL ENGINEERING RELATED TECHNOLOGIES',GENETICS,'MISCELLANEOUS SOCIAL SCIENCES','UNITED STATES HISTORY','INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY','AGRICULTURAL ECONOMICS','PHYSICAL SCIENCES','MILITARY TECHNOLOGIES',CHEMISTRY,'ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION','BUSINESS MANAGEMENT AND ADMINISTRATION','MARKETING AND MARKETING RESEARCH','POLITICAL SCIENCE AND GOVERNMENT',GEOGRAPHY,MICROBIOLOGY,'COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY','BIOCHEMICAL SCIENCES',BOTANY,'COMPUTER NETWORKING AND TELECOMMUNICATIONS','GEOLOGY AND EARTH SCIENCE','HUMAN RESOURCES AND PERSONNEL MANAGEMENT','PRE-LAW AND LEGAL STUDIES','MISCELLANEOUS HEALTH MEDICAL PROFESSIONS','PUBLIC ADMINISTRATION',GEOSCIENCES,'SOCIAL PSYCHOLOGY','ENVIRONMENTAL SCIENCE',COMMUNICATIONS,'CRIMINAL JUSTICE AND FIRE PROTECTION','COMMERCIAL ART AND GRAPHIC DESIGN',JOURNALISM,'MULTI-DISCIPLINARY OR GENERAL SCIENCE','ADVERTISING AND PUBLIC RELATIONS','AREA ETHNIC AND CIVILIZATION STUDIES','SPECIAL NEEDS EDUCATION',PHYSIOLOGY,CRIMINOLOGY,'NUTRITION SCIENCES','HEALTH AND MEDICAL ADMINISTRATIVE SERVICES','COMMUNICATION TECHNOLOGIES','TRANSPORTATION SCIENCES AND TECHNOLOGIES','NATURAL RESOURCES MANAGEMENT',NEUROSCIENCE,'MULTI/INTERDISCIPLINARY STUDIES','ATMOSPHERIC SCIENCES AND METEOROLOGY',FORESTRY,'SOIL SCIENCE','GENERAL EDUCATION',HISTORY,'FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES','INTERCULTURAL AND INTERNATIONAL STUDIES','SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION','COMMUNITY AND PUBLIC HEALTH','MATHEMATICS TEACHER EDUCATION','EDUCATIONAL ADMINISTRATION AND SUPERVISION','HEALTH AND MEDICAL PREPARATORY PROGRAMS','MISCELLANEOUS BIOLOGY',BIOLOGY,SOCIOLOGY,'MASS MEDIA','TREATMENT THERAPY PROFESSIONS','HOSPITALITY MANAGEMENT','LANGUAGE AND DRAMA EDUCATION','LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE','MISCELLANEOUS EDUCATION','INTERDISCIPLINARY SOCIAL SCIENCES',ECOLOGY,'SECONDARY TEACHER EDUCATION','GENERAL MEDICAL AND HEALTH SERVICES','PHILOSOPHY AND RELIGIOUS STUDIES','ART AND MUSIC EDUCATION','ENGLISH LANGUAGE AND LITERATURE','ELEMENTARY EDUCATION','PHYSICAL FITNESS PARKS RECREATION AND LEISURE','LIBERAL ARTS','FILM VIDEO AND PHOTOGRAPHIC ARTS','GENERAL SOCIAL SCIENCES','PLANT SCIENCE AND AGRONOMY','SCIENCE AND COMPUTER TEACHER EDUCATION',PSYCHOLOGY,MUSIC,'PHYSICAL AND HEALTH EDUCATION TEACHING','ART HISTORY AND CRITICISM','FINE ARTS','FAMILY AND CONSUMER SCIENCES','SOCIAL WORK','ANIMAL SCIENCES','VISUAL AND PERFORMING ARTS','TEACHER EDUCATION: MULTIPLE LEVELS','MISCELLANEOUS PSYCHOLOGY','HUMAN SERVICES AND COMMUNITY ORGANIZATION',HUMANITIES,'THEOLOGY AND RELIGIOUS VOCATIONS','STUDIO ARTS','COSMETOLOGY SERVICES AND CULINARY ARTS','MISCELLANEOUS AGRICULTURE','ANTHROPOLOGY AND ARCHEOLOGY','COMMUNICATION DISORDERS SCIENCES AND SERVICES','EARLY CHILDHOOD EDUCATION','OTHER FOREIGN LANGUAGES','DRAMA AND THEATER ARTS','COMPOSITION AND RHETORIC',ZOOLOGY,'EDUCATIONAL PSYCHOLOGY','CLINICAL PSYCHOLOGY','COUNSELING PSYCHOLOGY','LIBRARY SCIENCE'}
@attribute Major_category {Engineering,Business,'Physical Sciences','Law & Public Policy','Computers & Mathematics','Agriculture & Natural Resources','Industrial Arts & Consumer Services',Arts,Health,'Social Science','Biology & Life Science',Education,'Humanities & Liberal Arts','Psychology & Social Work','Communications & Journalism',Interdisciplinary}
@attribute Total numeric
@attribute Sample_size numeric
@attribute Men numeric
@attribute Women numeric
@attribute ShareWomen numeric
@attribute Full_time_year_round numeric
@attribute Median numeric
@attribute P25th numeric
@attribute P75th numeric
@attribute College_jobs numeric
@attribute Non_college_jobs numeric
@attribute Low_wage_jobs numeric

@data
'PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION',Health,23551,38,25463,20957,0.451465,9131,40000,20000,90000,11573,4493,1121
'MOLECULAR BIOLOGY','Biology & Life Science',18300,90,4419,371,0.077453,6183,40000,29000,47000,7225,3145,1168
'MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION',Business,17947,244,7043,1761,0.200023,10637,40000,30000,51000,2236,8937,1758
'AGRICULTURE PRODUCTION AND MANAGEMENT','Agriculture & Natural Resources',14240,273,7426,10874,0.594208,9093,40000,25000,50000,1925,6221,1362
'GENERAL AGRICULTURE','Agriculture & Natural Resources',10399,158,1761,1874,0.515543,5888,40000,30000,50000,2418,4717,839
'MISCELLANEOUS ENGINEERING TECHNOLOGIES',Engineering,8804,125,124,0,0,5825,40000,30400,56000,2446,3896,386
'MECHANICAL ENGINEERING RELATED TECHNOLOGIES',Engineering,4790,71,894,542,0.377437,3607,40000,27000,52000,1861,2121,406
GENETICS,'Biology & Life Science',3635,11,1075,1939,0.643331,1487,40000,34000,45000,1675,678,201
'MISCELLANEOUS SOCIAL SCIENCES','Social Science',3283,28,1499,1784,0.543405,1530,40000,30000,54000,744,1654,573
'UNITED STATES HISTORY','Humanities & Liberal Arts',3079,22,8697,14854,0.630716,1274,40000,30000,42000,801,1591,302
'INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY','Psychology & Social Work',3014,24,132238,102352,0.436302,1409,40000,32000,53000,559,1224,272
'AGRICULTURAL ECONOMICS','Agriculture & Natural Resources',2439,44,10624,15270,0.589712,1528,40000,27000,54000,535,893,94
'PHYSICAL SCIENCES','Physical Sciences',1436,10,10285,7662,0.426924,653,40000,30000,55000,530,465,269
'MILITARY TECHNOLOGIES','Industrial Arts & Consumer Services',124,4,1756,1323,0.429685,111,40000,40000,40000,0,0,0
CHEMISTRY,'Physical Sciences',66530,353,32923,33607,0.505141,29910,39000,30000,49900,30382,14718,4288
'ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION','Industrial Arts & Consumer Services',2435,37,1869,566,0.232444,1752,38400,22500,45000,221,1659,81
'BUSINESS MANAGEMENT AND ADMINISTRATION',Business,329927,4212,6383,8849,0.580948,199897,38000,29000,50000,36720,148395,32395
'MARKETING AND MARKETING RESEARCH',Business,205211,2684,11404,7076,0.3829,127230,38000,30000,50000,25320,93889,27968
'POLITICAL SCIENCE AND GOVERNMENT','Social Science',182621,1387,93880,88741,0.48593,83236,38000,28000,50000,36854,66947,19803
GEOGRAPHY,'Social Science',18480,179,173809,156118,0.47319,8628,38000,30000,50000,5350,6830,1905
MICROBIOLOGY,'Biology & Life Science',15232,62,78857,126354,0.615727,5080,38000,29600,50000,5577,3174,1246
'COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY','Computers & Mathematics',8066,103,6607,1459,0.180883,4936,37500,25000,50000,2354,3244,308
'BIOCHEMICAL SCIENCES','Biology & Life Science',39107,174,18951,20156,0.515406,13785,37400,29000,50000,15654,8394,3012
BOTANY,'Biology & Life Science',1329,9,626,703,0.528969,740,37000,26000,40000,677,184,56
'COMPUTER NETWORKING AND TELECOMMUNICATIONS','Computers & Mathematics',7613,97,5291,2322,0.305005,4369,36400,27000,49000,2593,2941,352
'GEOLOGY AND EARTH SCIENCE','Physical Sciences',10972,78,5813,5159,0.470197,5008,36200,28000,47000,4858,2792,959
'HUMAN RESOURCES AND PERSONNEL MANAGEMENT',Business,24497,264,4435,9093,0.672161,15446,36000,28000,45000,2406,9629,1906
'PRE-LAW AND LEGAL STUDIES','Law & Public Policy',13528,92,809,1169,0.591001,5370,36000,29200,46000,2002,6454,1336
'MISCELLANEOUS HEALTH MEDICAL PROFESSIONS',Health,13386,81,413,973,0.70202,5868,36000,23000,42000,5652,3835,1422
'PUBLIC ADMINISTRATION','Law & Public Policy',5629,46,2947,2682,0.476461,2952,36000,23000,60000,919,2313,496
GEOSCIENCES,'Physical Sciences',1978,18,1589,11797,0.881294,1011,36000,21000,41000,784,591,221
'SOCIAL PSYCHOLOGY','Psychology & Social Work',1386,8,6184,18313,0.747561,529,36000,34000,45000,434,593,37
'ENVIRONMENTAL SCIENCE','Biology & Life Science',25965,225,10787,15178,0.584556,10916,35600,25000,40200,8149,10076,3175
COMMUNICATIONS,'Communications & Journalism',213996,2394,476,209,0.305109,116251,35000,27000,45000,40763,97964,27440
'CRIMINAL JUSTICE AND FIRE PROTECTION','Law & Public Policy',152824,1728,3156,451,0.125035,88548,35000,26000,45000,24348,88858,18404
'COMMERCIAL ART AND GRAPHIC DESIGN',Arts,103480,1186,8617,5156,0.374356,52243,35000,25000,45000,37389,38119,14839
JOURNALISM,'Communications & Journalism',72619,843,8739,22456,0.719859,39524,35000,26000,42900,23279,26672,8512
'MULTI-DISCIPLINARY OR GENERAL SCIENCE','Physical Sciences',62052,427,70619,143377,0.669999,28966,35000,24000,50000,17923,22039,5751
'ADVERTISING AND PUBLIC RELATIONS','Communications & Journalism',53162,681,23736,48883,0.673143,30932,35000,27000,47000,9659,23059,7214
'AREA ETHNIC AND CIVILIZATION STUDIES','Humanities & Liberal Arts',31195,249,12862,40300,0.75806,13109,35000,24500,44000,8465,11818,3677
'SPECIAL NEEDS EDUCATION',Education,28739,246,11431,6604,0.366177,16642,35000,32000,42000,20185,3797,1179
PHYSIOLOGY,'Biology & Life Science',22060,99,2682,26057,0.906677,7588,35000,20000,50000,6587,6894,2237
CRIMINOLOGY,'Social Science',19879,214,8422,13638,0.618223,10548,35000,25000,45000,3373,10605,1895
'NUTRITION SCIENCES',Health,18909,118,4944,8719,0.638147,6625,35000,26000,45000,6535,5473,2449
'HEALTH AND MEDICAL ADMINISTRATIVE SERVICES',Health,18109,184,2817,9479,0.770901,10982,35000,27000,42000,2589,8592,1391
'COMMUNICATION TECHNOLOGIES','Computers & Mathematics',18035,208,2563,16346,0.864456,9085,35000,25000,45000,4545,8794,2495
'TRANSPORTATION SCIENCES AND TECHNOLOGIES','Industrial Arts & Consumer Services',15150,180,2744,1299,0.321296,9170,35000,22000,52000,4575,6147,557
'NATURAL RESOURCES MANAGEMENT','Agriculture & Natural Resources',13773,152,27015,35037,0.564639,6954,35000,25000,42000,4333,5808,1405
NEUROSCIENCE,'Biology & Life Science',13663,53,80231,72593,0.47501,5482,35000,30000,44000,5605,2301,902
'MULTI/INTERDISCIPLINARY STUDIES',Interdisciplinary,12296,128,10031,9848,0.495397,6234,35000,25000,44000,5176,3903,1061
'ATMOSPHERIC SCIENCES AND METEOROLOGY','Physical Sciences',4043,32,13257,1893,0.12495,2161,35000,28000,50000,1808,1317,237
FORESTRY,'Agriculture & Natural Resources',3607,48,32041,71439,0.690365,1763,35000,28600,48000,1096,1692,327
'SOIL SCIENCE','Agriculture & Natural Resources',685,4,4266,13843,0.764427,383,35000,18500,44000,355,144,0
'GENERAL EDUCATION',Education,143718,919,26893,116825,0.812877,73531,34000,26000,41000,82007,31112,11443
HISTORY,'Humanities & Liberal Arts',141951,1058,280,524,0.651741,59218,34000,25000,47000,35336,54569,16839
'FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES','Humanities & Liberal Arts',48246,342,3872,10365,0.728033,20056,34000,25000,45000,15051,18193,5267
'INTERCULTURAL AND INTERNATIONAL STUDIES','Humanities & Liberal Arts',24650,184,9950,10248,0.507377,8801,34000,24000,45000,4956,10343,3168
'SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION',Education,20198,157,12835,35411,0.733968,8871,34000,23050,42000,10928,5561,1806
'COMMUNITY AND PUBLIC HEALTH',Health,19735,130,8575,16075,0.65213,7460,34000,21000,45000,5225,7385,1854
'MATHEMATICS TEACHER EDUCATION',Education,14237,123,4103,15632,0.792095,8073,34000,30000,40000,10699,1977,786
'EDUCATIONAL ADMINISTRATION AND SUPERVISION',Education,804,5,78253,63698,0.448732,504,34000,29000,35000,346,206,111
'HEALTH AND MEDICAL PREPARATORY PROGRAMS',Health,12740,31,4747,5959,0.556604,3236,33500,23000,40000,3051,3539,1159
'MISCELLANEOUS BIOLOGY','Biology & Life Science',10706,63,5521,7219,0.566641,4542,33500,23000,48000,4253,2722,459
BIOLOGY,'Biology & Life Science',280709,1370,111762,168947,0.601858,100336,33400,24000,45000,88232,81109,28339
SOCIOLOGY,'Social Science',115433,1024,24704,28120,0.532334,56561,33000,25000,44000,29051,48899,13748
'MASS MEDIA','Communications & Journalism',52824,590,3741,26730,0.877228,27521,33000,25000,45000,12855,25297,6429
'TREATMENT THERAPY PROFESSIONS',Health,48491,224,3654,6496,0.64,21735,33000,24000,41000,22215,14616,4468
'HOSPITALITY MANAGEMENT',Business,43647,546,4416,12185,0.733992,23106,33000,25000,42000,2325,23341,9063
'LANGUAGE AND DRAMA EDUCATION',Education,30471,235,3878,5276,0.57636,15266,33000,24000,40000,17985,6824,2819
'LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE','Humanities & Liberal Arts',16601,88,2337,7579,0.76432,5821,33000,25000,40000,4122,5695,2085
'MISCELLANEOUS EDUCATION',Education,10150,126,32510,82923,0.718365,5816,33000,30000,45000,5284,2438,657
'INTERDISCIPLINARY SOCIAL SCIENCES','Social Science',9916,95,13487,35004,0.721866,4714,33000,24000,40000,2630,3906,1470
ECOLOGY,'Biology & Life Science',9154,86,15204,28443,0.65166,3912,33000,23000,42000,2856,4159,976
'SECONDARY TEACHER EDUCATION',Education,17125,156,6820,10305,0.601752,9193,32500,25000,38000,10304,3967,1385
'GENERAL MEDICAL AND HEALTH SERVICES',Health,33599,202,7574,26025,0.774577,12809,32400,25000,45000,9364,12889,3816
'PHILOSOPHY AND RELIGIOUS STUDIES','Humanities & Liberal Arts',54814,375,31967,22847,0.41681,21816,32200,23000,47100,14444,20313,8051
'ART AND MUSIC EDUCATION',Education,34181,338,10732,23449,0.686024,16537,32100,25000,40000,20821,8260,2767
'ENGLISH LANGUAGE AND LITERATURE','Humanities & Liberal Arts',194673,1436,4897,2519,0.339671,81180,32000,23000,41000,57690,71827,26503
'ELEMENTARY EDUCATION',Education,170862,1629,13029,157833,0.923745,86540,32000,23400,38000,108085,36972,11502
'PHYSICAL FITNESS PARKS RECREATION AND LEISURE','Industrial Arts & Consumer Services',125074,1014,2049,4434,0.683943,57978,32000,24000,43000,27581,63946,16838
'LIBERAL ARTS','Humanities & Liberal Arts',71369,569,58227,136446,0.700898,33438,32000,25000,42000,18565,28558,9030
'FILM VIDEO AND PHOTOGRAPHIC ARTS',Arts,38761,331,22339,49030,0.686993,15740,32000,22000,42000,7368,20721,5862
'GENERAL SOCIAL SCIENCES','Social Science',12920,113,62181,62893,0.502846,5679,32000,27000,50000,3602,4778,1634
'PLANT SCIENCE AND AGRONOMY','Agriculture & Natural Resources',7416,110,5079,7841,0.606889,4522,32000,22900,40000,2089,3545,1231
'SCIENCE AND COMPUTER TEACHER EDUCATION',Education,6483,59,22357,16404,0.423209,3247,32000,28000,39000,4214,1106,591
PSYCHOLOGY,'Psychology & Social Work',393735,2584,86648,307087,0.779933,174438,31500,24000,41000,125148,141860,48207
MUSIC,Arts,60633,419,15670,12543,0.444582,21425,31000,22300,42000,13752,28786,9286
'PHYSICAL AND HEALTH EDUCATION TEACHING',Education,28213,259,29909,30724,0.506721,13651,31000,24000,40000,12777,9328,2042
'ART HISTORY AND CRITICISM','Humanities & Liberal Arts',21030,204,3240,17790,0.845934,9965,31000,23000,40000,5139,9738,3426
'FINE ARTS',Arts,74440,623,24786,49654,0.667034,31877,30500,21000,41000,20792,32725,11880
'FAMILY AND CONSUMER SCIENCES','Industrial Arts & Consumer Services',58001,518,5347,16226,0.752144,26906,30000,22900,40000,20985,20133,5248
'SOCIAL WORK','Psychology & Social Work',53552,374,2734,11709,0.810704,27588,30000,25000,35000,27449,14416,4344
'ANIMAL SCIENCES','Agriculture & Natural Resources',21573,255,5166,52835,0.910933,10824,30000,22000,40000,5443,9571,2125
'VISUAL AND PERFORMING ARTS',Arts,16250,132,2013,4639,0.697384,6322,30000,22000,40000,3849,7635,2840
'TEACHER EDUCATION: MULTIPLE LEVELS',Education,14443,142,1936,7692,0.79892,8457,30000,24000,37000,10766,1949,722
'MISCELLANEOUS PSYCHOLOGY','Psychology & Social Work',9628,60,885,8489,0.90559,3838,30000,20800,40000,2960,3948,1650
'HUMAN SERVICES AND COMMUNITY ORGANIZATION','Psychology & Social Work',9374,89,5137,48415,0.904075,5061,30000,24000,35000,2878,4595,724
HUMANITIES,'Humanities & Liberal Arts',6652,49,4133,12117,0.745662,2661,30000,20000,49000,1168,3354,1141
'THEOLOGY AND RELIGIOUS VOCATIONS','Humanities & Liberal Arts',30207,310,404,1084,0.728495,13944,29000,22000,38000,9927,12037,3304
'STUDIO ARTS',Arts,16977,182,4364,6146,0.584776,7413,29000,19200,38300,3948,8707,3586
'COSMETOLOGY SERVICES AND CULINARY ARTS','Industrial Arts & Consumer Services',10510,117,18616,11591,0.383719,5949,29000,20000,36000,563,7384,3163
'MISCELLANEOUS AGRICULTURE','Agriculture & Natural Resources',1488,24,4754,12223,0.719974,936,29000,23000,42100,483,626,31
'ANTHROPOLOGY AND ARCHEOLOGY','Humanities & Liberal Arts',38844,247,1167,36422,0.968954,13232,28000,20000,38000,9805,16693,6866
'COMMUNICATION DISORDERS SCIENCES AND SERVICES',Health,38279,95,11376,27468,0.707136,14460,28000,20000,40000,19957,9404,5125
'EARLY CHILDHOOD EDUCATION',Education,37589,342,1225,37054,0.967998,20748,28000,21000,35000,23515,7705,2868
'OTHER FOREIGN LANGUAGES','Humanities & Liberal Arts',11204,56,3472,7732,0.690111,3214,27500,22900,38000,2326,3703,1115
'DRAMA AND THEATER ARTS',Arts,43249,357,7022,11931,0.629505,16891,27000,19200,35000,6994,25313,11068
'COMPOSITION AND RHETORIC','Humanities & Liberal Arts',18953,151,14440,28809,0.666119,7832,27000,20000,35000,4855,8100,3466
ZOOLOGY,'Biology & Life Science',8409,47,3050,5359,0.637293,3602,26000,20000,39000,2771,2947,743
'EDUCATIONAL PSYCHOLOGY','Psychology & Social Work',2854,7,522,2332,0.817099,1211,25000,24000,34000,1488,615,82
'CLINICAL PSYCHOLOGY','Psychology & Social Work',2838,13,568,2270,0.799859,1293,25000,25000,40000,986,870,622
'COUNSELING PSYCHOLOGY','Psychology & Social Work',4626,21,931,3695,0.798746,2738,23400,19200,26000,2403,1245,308
'LIBRARY SCIENCE',Education,1098,2,134,964,0.87796,410,22000,20000,22000,288,338,192
